barrio_codigo,barrio,zona_codigo,zona
01 01,Poal,01 01 0100,Poal General
01 01,Poal,01 01 0101,"Parterres c/ Comte Güell, 8"
01 01,Poal,01 01 0102,c/ Joan Maragall-Av. Poal (Triángulo de Maragall)
01 01,Poal,01 01 0103,Solar Poal-Ausias March (transformador)
01 01,Poal,01 01 0104,"AAVV Poal Av. Poal, 28"
01 01,Poal,01 01 0105,Parc de la Bòvila (Basquet y Petancas)
01 01,Poal,01 01 0106,Parterre de c/Carles Ribes
01 01,Poal,01 01 0107,Parc c/ Pérez Galdós 2
01 01,Poal,01 01 0108,Parterre c/ Antoni Gaudí - c/ Comte Güell
01 01,Poal,01 01 0109,c/ Cova Fumada
01 01,Poal,01 01 0110,Pont Poal (cova fumada)
01 01,Poal,01 01 0111,"Parc c/ Gómez de la Serna (Gaudí, 21)"
01 01,Poal,01 01 0112,Parc c/ Maragall 5
01 01,Poal,01 01 0113,Solar Jacinto Benavente-Cova Fumada
01 01,Poal,01 01 0114,Parterre c/ Escolana-Av. Constitució
01 01,Poal,01 01 0115,"Parterre Av. Poal, 73"
01 01,Poal,01 01 0116,Av. Constitució
01 01,Poal,01 01 0117,Pl. Brasilia
01 01,Poal,01 01 0118,Parterre c/ Joan Maragall-c/ Bécquer
01 01,Poal,01 01 0119,Parterre Av. Poal - c/ Bécquer
01 01,Poal,01 01 0120,Solar c/ Alcover - c/ Azorín
01 01,Poal,01 01 0121,Solar Bèquer 31
01 01,Poal,01 01 0122,Rotonda Av. Poal - Pg. Maragall
01 01,Poal,01 01 0123,Ramal Garrofers
01 01,Poal,01 01 0124,"Parterre Av. Poal, 46"
01 01,Poal,01 01 0125,c/ Joaquim Ruyra
01 01,Poal,01 01 0126,c/ Jacinto Verdaguer esc. c/ Ausias March
01 01,Poal,01 01 0127,"Av. Constitució, 460"
01 01,Poal,01 01 0128,Av. del Poal
01 01,Poal,01 01 0129,"Parterre Cova Fumada, 3"
01 01,Poal,01 01 0130,Corre-can Maragall
01 01,Poal,01 01 0131,Solar c/ Ausias Marc 13
01 01,Poal,01 01 0132,Solar c/ Antonio Gaudí 13B
01 01,Poal,01 01 0133,Pl. Pio Baroja
01 01,Poal,01 01 0134,Horts del Poal
01 01,Poal,01 01 0135,Solar J. Ramón Jimenez 29
01 01,Poal,01 01 0137,Angel Guimerà nº 15 - Pg Muntanya nº 52
01 01,Poal,01 01 0138,Ptge. Perez Galdós
01 01,Poal,01 01 0139,Joan Maragall 34 (Ptge 4)
01 01,Poal,01 01 0140,Gómez de la Serna 5-11 (1-11)
01 01,Poal,01 01 0141,Compte Güell 15-17 (Ptge 6)
01 01,Poal,01 01 0142,"Compte Güell, 1-3"
01 01,Poal,01 01 0143,Becquer 30 (Ptge 1)
01 01,Poal,01 01 0144,Jacint Verdaguer 15-17 / J.R. Jiménez 37-39
01 01,Poal,01 01 0145,Passatge Miguel Delibes
01 01,Poal,01 01 0146,Gómez de la Serna 11-13 / J. Ramón Jiménez 11-13
01 01,Poal,01 01 0147,Ptge María Zambrano (Gómez de la Serna 4-6)
01 01,Poal,01 01 0148,Compte Güell 18 / Av Poal 66-68 (Ptge 5)
01 01,Poal,01 01 0149,Becquer 28 (Ptge 2)
01 01,Poal,01 01 0150,A. Gaudí 3-5 / Ausias Marc 2-4
01 01,Poal,01 01 0151,Gómez de la Serna 19 / J. Ramón Jiménez 17-21
01 01,Poal,01 01 0152,Juan Ramón Jiménez 26-28
01 01,Poal,01 01 0153,Passeig Can Solé 10
01 01,Poal,01 01 0154,Franjas - Poal
01 01,Poal,01 01 0155,Solars Forestals - Poal
01 01,Poal,01 01 0156,Passatge Gómez de la Serna 8-10
01 02,Bellamar,01 02 0200,Bellamar General
01 02,Bellamar,01 02 0201,Av. Bellamar - Pg. De la Vall (Roda)
01 02,Bellamar,01 02 0202,Pl. Romani (Av. Bellamar)
01 02,Bellamar,01 02 0203,Av. Bellamar - Pg. De la Vall (Adelfas)
01 02,Bellamar,01 02 0204,Av. Bellamar - c/ Olivera (Palmeras)
01 02,Bellamar,01 02 0205,Av. Bellamar - Pg. Can Vinyas (Escaleras)
01 02,Bellamar,01 02 0206,Parc Santa Eulalia (Eucaliptus)
